date,platform,code,name,type,nav,amount,shares,fee
2026-07-08,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.3128,50.0,21.59,0.06
2026-07-08,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6803,10.0,5.95,0.01
2026-07-08,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.2891,10.0,1.21,0.01
2026-07-07,天天基金,110007,易方达稳健收益债券A,BUY,1.4057,200.0,142.27,0.0
2026-07-07,天天基金,110020,易方达沪深300ETF联接A,BUY,1.9612,150.0,76.39,0.18
2026-07-07,天天基金,015453,中欧中证500指数增强A,BUY,1.6289,150.0,92.07,0.02
2026-07-06,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.2865,50.0,21.84,0.06
2026-07-06,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.189,10.0,1.22,0.01
2026-07-06,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6693,10.0,5.98,0.01
2026-07-03,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.3245,10.0,1.2,0.01
2026-07-03,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.3227,50.0,21.5,0.06
2026-07-03,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6693,10.0,5.98,0.01
2026-07-02,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.4599,10.0,1.18,0.01
2026-07-02,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6742,10.0,5.97,0.01
2026-07-02,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.3595,50.0,21.17,0.06
2026-07-01,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.663,10.0,6.01,0.01
2026-07-01,天天基金,270042,广发纳斯达克100ETF联接人民币(QDII)A,BUY,8.3281,10.0,1.2,0.01
2026-07-01,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.3237,50.0,21.49,0.06
2026-07-24,招商银行,090021,大成月添利一个月滚动持大成月添利一个月滚动持有中短债A,BUY,1.1340,50000.00,44091.71,0.0
2026-07-15,招商银行,070009,嘉实超短债债券C,DIVIDEND,1.0549,5.69,0.00,0.0
2026-06-24,招商银行,070009,嘉实超短债债券C,BUY,1.0552,10000.00,9476.88,0.0
2026-06-24,招商银行,070009,嘉实超短债债券C,BUY,1.0552,5000.00,4738.44,0.0
2026-06-24,招商银行,008775,招商鑫福中短债C,BUY,1.1775,10000.00,8492.57,0.0
2026-06-24,招商银行,015643,招商中证同业存单AAA指数7天持有,BUY,1.0750,20000.00,18604.65,0.0
2026-06-24,招商银行,008775,招商鑫福中短债C,BUY,1.1775,10000.00,8492.57,0.0
2026-06-24,招商银行,021131,大成稳康6个月持有期债券A,BUY,1.0775,30000.00,27833.88,9.00
2026-06-23,招商银行,015960,创金合信中证同业存单AAA指数7天持有,SELL,1.0683,10112.65,9466.11,0.0
2026-06-22,招商银行,021131,大成稳康6个月持有期债券A,BUY,1.0775,100000.00,92779.59,30.00
2025-08-12,招商银行,013791,大成稳安60天滚动持有债券C,BUY,1.1170,20000.00,17905.10,0.0
2025-08-06,招商银行,013791,大成稳安60天滚动持有债券C,BUY,1.1166,21159.77,18950.18,0.0
2025-07-29,招商银行,015960,创金合信中证同业存单AAA指数7天持有,BUY,1.0564,10000.00,9466.11,0.0
2026-07-24,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.2567,10.00,4.43,0.01
2026-07-24,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6700,10.00,5.98,0.01
2026-07-24,天天基金,270042,广发纳指100ETF联接(QDII)人民币A,BUY,8.0636,5.00,0.62,0.01
2026-07-24,天天基金,019305,摩根标普500指数(QDII)人民币C,BUY,1.6548,10.00,6.04,0.0
2026-07-27,天天基金,016452,南方纳斯达克100指数发起(QDII)A,BUY,2.2147,10.00,4.51,0.01
2026-07-27,天天基金,017641,摩根标普500指数(QDII)人民币A,BUY,1.6496,10.00,6.06,0.01
2026-07-27,天天基金,270042,广发纳指100ETF联接(QDII)人民币A,BUY,7.9076,5.00,0.63,0.01
2026-07-27,天天基金,019305,摩根标普500指数(QDII)人民币C,BUY,1.6346,10.00,6.12,0.0
